Ano,UF,Produto_lavouras,kg_hectare
2019,Amazonas,Soja (em grão),3000
2019,Roraima,Milho (em grão),5238
2019,Roraima,Soja (em grão),2757
2019,Pará,Milho (em grão),3194
2019,Pará,Soja (em grão),3084
2019,Amapá,Milho (em grão),912
2019,Amapá,Soja (em grão),2534
2019,Tocantins,Milho (em grão),4190
2019,Tocantins,Soja (em grão),2890
2019,Maranhão,Milho (em grão),4235
2019,Maranhão,Soja (em grão),2915
2019,Piauí,Milho (em grão),4198
2019,Piauí,Soja (em grão),3037
2019,Ceará,Milho (em grão),812
2019,Ceará,Soja (em grão),-
2019,Rio Grande do Norte,Milho (em grão),556
2019,Rio Grande do Norte,Soja (em grão),-
2019,Paraíba,Milho (em grão),501
2019,Paraíba,Soja (em grão),-
2019,Pernambuco,Milho (em grão),385
2019,Pernambuco,Soja (em grão),-
2019,Alagoas,Milho (em grão),2487
2019,Alagoas,Soja (em grão),3299
2019,Sergipe,Milho (em grão),4838
2019,Sergipe,Soja (em grão),-
2019,Bahia,Milho (em grão),3447
2019,Bahia,Soja (em grão),3361
2019,Minas Gerais,Milho (em grão),6890
2019,Minas Gerais,Soja (em grão),3202
2019,Espírito Santo,Milho (em grão),2874
2019,Espírito Santo,Soja (em grão),-
2019,Rio de Janeiro,Milho (em grão),4478
2019,Rio de Janeiro,Soja (em grão),-
2019,Guanabara,Milho (em grão),...
2019,Guanabara,Soja (em grão),...
2019,São Paulo,Milho (em grão),5685
2019,São Paulo,Soja (em grão),3199
2019,Paraná,Milho (em grão),6283
2019,Paraná,Soja (em grão),3024
2019,Santa Catarina,Milho (em grão),8041
2019,Santa Catarina,Soja (em grão),3414
2019,Rio Grande do Sul,Milho (em grão),7519
2019,Rio Grande do Sul,Soja (em grão),3179
2019,Mato Grosso do Sul,Milho (em grão),5024
2019,Mato Grosso do Sul,Soja (em grão),3018
2019,Mato Grosso,Milho (em grão),6268
2019,Mato Grosso,Soja (em grão),3316
2019,Goiás,Milho (em grão),7183
2019,Goiás,Soja (em grão),3258
2019,Distrito Federal,Milho (em grão),7809
2019,Distrito Federal,Soja (em grão),3480
2020,Rondônia,Milho (em grão),4205
2020,Rondônia,Soja (em grão),3435
2020,Acre,Milho (em grão),2806
2020,Acre,Soja (em grão),3165
2020,Amazonas,Milho (em grão),2255
2020,Amazonas,Soja (em grão),2963
2020,Roraima,Milho (em grão),5693
2020,Roraima,Soja (em grão),2802
2020,Pará,Milho (em grão),2784
2020,Pará,Soja (em grão),3095
2020,Amapá,Milho (em grão),911
2020,Amapá,Soja (em grão),2385
2020,Tocantins,Milho (em grão),4515
2020,Tocantins,Soja (em grão),3122
2020,Maranhão,Milho (em grão),4779
2020,Maranhão,Soja (em grão),3181
2020,Piauí,Milho (em grão),4718
2020,Piauí,Soja (em grão),3230
2020,Ceará,Milho (em grão),1178
2020,Ceará,Soja (em grão),3000
2020,Rio Grande do Norte,Milho (em grão),560
2020,Rio Grande do Norte,Soja (em grão),-
2020,Paraíba,Milho (em grão),794
2020,Paraíba,Soja (em grão),-
2020,Pernambuco,Milho (em grão),648
2020,Pernambuco,Soja (em grão),-
2020,Alagoas,Milho (em grão),1914
2020,Alagoas,Soja (em grão),3791
2020,Sergipe,Milho (em grão),5947
2020,Sergipe,Soja (em grão),-
2020,Bahia,Milho (em grão),4584
2020,Bahia,Soja (em grão),3746
2020,Minas Gerais,Milho (em grão),6869
2020,Minas Gerais,Soja (em grão),3667
2020,Espírito Santo,Milho (em grão),3033
2020,Espírito Santo,Soja (em grão),-
2020,Rio de Janeiro,Milho (em grão),4753
2020,Rio de Janeiro,Soja (em grão),-
2020,Guanabara,Milho (em grão),...
2020,Guanabara,Soja (em grão),...
2020,São Paulo,Milho (em grão),5558
2020,São Paulo,Soja (em grão),3431
2020,Paraná,Milho (em grão),5865
2020,Paraná,Soja (em grão),3772
2020,Santa Catarina,Milho (em grão),7904
2020,Santa Catarina,Soja (em grão),3375
2020,Rio Grande do Sul,Milho (em grão),5678
2020,Rio Grande do Sul,Soja (em grão),1890
2020,Mato Grosso do Sul,Milho (em grão),5422
2020,Mato Grosso do Sul,Soja (em grão),3504
2020,Mato Grosso,Milho (em grão),6327
2020,Mato Grosso,Soja (em grão),3511
